n,p,k,temperature,humidity,ph,rainfall,label,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_4,humidity_lag_5,humidity_lag_6,humidity_lag_7,humidity_lag_8,humidity_lag_9,humidity_lag_10,humidity_lag_11,humidity_lag_12,humidity_lag_13,humidity_lag_14,humidity_roll_mean_3,humidity_roll_std_7,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_7,rainfall_lag_8,rainfall_lag_9,rainfall_lag_10,rainfall_lag_11,rainfall_lag_12,rainfall_lag_13,rainfall_lag_14,rainfall_roll_mean_3,rainfall_roll_std_7,hum_target_7d,rain_target_7d
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,81.90103719142857,251.50788782857143
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,82.00274423,,,,,,,,,,,,,,82.00274423,0.0,202.9355362,,,,,,,,,,,,,,202.9355362,0.0,82.36040465142857,252.04941618571428
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,80.31964408,82.00274423,,,,,,,,,,,,,81.161194155,1.1901315294810964,226.6555374,202.9355362,,,,,,,,,,,,,214.79553679999998,16.772573698273042,82.4621852242857,245.94155164285712
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,82.3207629,80.31964408,82.00274423,,,,,,,,,,,,81.54771707,1.0753633898328507,263.9642476,226.6555374,202.9355362,,,,,,,,,,,,231.18510706666666,30.76546204447471,82.6420674842857,249.04881385714285
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,80.15836264,82.3207629,80.31964408,82.00274423,,,,,,,,,,,80.93292320666667,1.1196044151851212,242.8640342,263.9642476,226.6555374,202.9355362,,,,,,,,,,,244.49460639999998,25.789696352479673,82.62003078285714,247.24394144285716
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,,,,,,,,81.36133280333333,0.9863359873878004,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,,,,,,,,256.51520743333333,25.740364772067192,82.26527799714286,252.012721
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,,,,,,,81.71111774333333,1.2269865375847893,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,,,,,,,252.21212483333332,23.474734575260097,82.1820576942857,239.7202179285714
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,,,,,,82.53813484333334,1.183345909090515,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,,,,,,261.6990669,24.178649022644144,81.86345258857143,235.09347162857142
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,,,,,82.96787261666667,1.2577192238741652,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,,,,,254.7846850333333,15.582987869492019,81.40131538428571,235.1849143142857
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,,,,83.02290547666665,1.167886539829205,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,,,,247.91509706666662,14.610944271612887,81.36633594,243.1057786142857
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,,,83.15417646666667,1.1945959670937802,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,,,231.2098755333333,17.458961767243398,81.22357038428572,234.7695380142857
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,,82.66199389,0.8286074782035568,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,,238.75676713333334,18.71063966621769,81.04381107571429,231.1226499142857
